ts	run	board	white	black	result	plies	wpc	bpc	wms	bms	wcpu	bcpu	wmv	bmv	wnod	bnod	wed	bed	wsn	bsn	seed	par
2026-07-26T21:40:24Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	B	61	10	10	134.560	422.514	125.000	390.625	31	30	405318	1262250	64.00	147.00	12	26	961216034	12
2026-07-26T21:40:24Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	rand@1	W	41	15	14	33.148	0.014	31.250	0.000	21	20	115798	0	14.00	0.00	4	0	1108102983	12
2026-07-26T21:40:25Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s6,eac8ab99)@1.opener(rand,4)@1	B	65	10	7	376.169	621.952	343.750	515.625	33	32	971158	1731280	160.00	159.00	29	28	572510822	12
2026-07-26T21:40:26Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d6,tt,ord,qs,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	B	35	13	13	195.061	271.683	203.125	265.625	18	17	520834	755030	70.00	69.00	14	13	281035984	12
2026-07-26T21:40:41Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s111,78ef6974)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1.opener(rand,4)@1	W	58	8	10	14716.836	799.476	13453.125	828.125	29	29	2903738	2117876	140.67	136.00	25	25	3053025444	12
2026-07-26T21:40:52Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s111,78ef6974)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	W	68	9	9	10285.497	580.139	9156.250	500.000	34	34	2164690	1697751	171.00	166.00	30	30	2638193405	12
2026-07-26T21:41:00Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s111,78ef6974)@1.opener(rand,4)@1	rand@1	W	33	16	13	7949.802	0.024	7265.625	0.000	17	16	1559755	0	67.94	0.00	13	0	3533255942	12
2026-07-26T21:41:02Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	B	73	7	6	705.052	701.478	671.875	609.375	37	36	2242451	2002579	184.00	183.00	33	32	1602688877	12
2026-07-26T21:41:02Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1.opener(rand,4)@1	rand@1	W	33	16	12	379.643	0.026	343.750	0.000	17	16	1141594	0	65.00	0.00	13	0	82033654	12
2026-07-26T21:41:03Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s6,eac8ab99)@1.opener(rand,4)@1	ab(d6,tt,ord,qs,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	W	93	5	5	662.528	687.052	578.125	687.500	47	46	2140078	1912163	243.69	238.00	43	42	2824107000	12
2026-07-26T21:41:05Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s76,ef183148)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	W	82	8	5	1017.605	815.600	984.375	734.375	41	41	2715693	2722285	212.56	207.42	37	37	1946394681	12
2026-07-26T21:41:06Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s76,ef183148)@1.opener(rand,4)@1	rand@1	W	23	16	14	249.350	0.015	218.750	0.000	12	11	815214	0	37.50	0.00	8	0	2223359594	12
2026-07-26T21:41:06Z	20260726T214014Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	rand@1	W	27	16	12	299.897	0.019	265.625	0.000	14	13	884913	0	55.00	0.00	10	0	841418737	12
2026-07-26T21:41:08Z	20260726T214014Z	boards/board1.txt	ab(d8,tt,ord,nb2m)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	rand@1	W	23	16	14	2307.163	0.018	2156.250	0.000	12	11	6756064	0	57.00	0.00	8	0	564162861	12
2026-07-26T21:40:15Z	20260726T214015Z	boards/board1.txt	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	W	35	14	14	7.138	0.112	0.000	0.000	18	17	81495	1468	56.00	24.00	14	13	987521364	12
