rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
85	809	19	504	301	203	157	95	144	108	35.7	0.048	0.065	1097	134	gone	ab(d3)@1.classic(t1,c4,w0,l0)@1
86	807	25	196	107	89	56	42	51	47	53.6	147.864	129.625	51508	47	gone	ab(d6,tt,ord,nb200k)@1.learned(s16,500afc93)@1
87	807	25	196	107	89	57	41	50	48	53.3	162.646	146.117	56678	47	gone	ab(d6,tt,ord,nb200k)@1.learned(s26,d70c5070)@1
88	803	25	196	106	90	54	44	52	46	53.5	278.528	252.101	58780	45	gone	ab(d6,tt,ord,nb200k)@1.learned(s34,93fd930c)@1
89	797	12	1120	717	403	405	155	312	248	49.3	0.514	0.830	10480	82	on	ab(d4)@1.exp(t1,c4,w0,l0,f2)@2
90	796	25	196	104	92	59	39	45	53	56.9	251.718	225.714	54291	45	gone	ab(d6,tt,ord,nb200k)@1.learned(s27,12a6c33c)@1
91	793	23	318	182	136	94	65	88	71	38.4	5.269	8.004	28299	61	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r14)@1
92	793	19	504	293	211	156	96	137	115	37.8	0.171	0.240	3691	100	gone	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r5)@1
93	793	19	504	293	211	154	98	139	113	37.6	5.402	7.039	123467	62	gone	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1
94	792	25	196	103	93	59	39	44	54	54.0	155.735	135.999	54938	46	gone	ab(d6,tt,ord,nb200k)@1.learned(s20,30a9414b)@1
95	792	25	196	103	93	53	45	50	48	54.1	251.347	223.615	53213	45	gone	ab(d6,tt,ord,nb200k)@1.learned(s29,ef8eac9c)@1
96	792	25	196	103	93	57	41	46	52	53.3	246.861	226.472	54277	45	gone	ab(d6,tt,ord,nb200k)@1.learned(s38,2df06048)@1
97	791	19	504	292	212	148	104	144	108	35.4	8.264	10.543	184041	59	gone	ab(d6,noab,nb200k)@1.classic(t1,c4,w0,l0)@1
98	789	12	1120	707	413	346	214	361	199	39.1	1.370	2.222	33881	71	on	ab(d5)@1.classic(t1,c4,w0,l0)@2
99	785	25	196	101	95	61	37	40	58	53.9	224.690	202.883	49527	45	gone	ab(d6,tt,ord,nb200k)@1.learned(s32,18116b38)@1
100	778	23	318	177	141	104	55	73	86	54.7	2.621	2.567	17300	69	gone	ab(d4)@1.exp(t20,c64,w0,l1,f15)@1
101	777	25	196	99	97	54	44	45	53	54.3	259.516	233.799	56045	44	gone	ab(d6,tt,ord,nb200k)@1.learned(s31,19904e2a)@1
102	776	12	1120	692	428	379	181	313	247	60.8	1.567	2.720	18141	68	on	ab(d4)@1.classic(t2,c10,w3,l2)@2
103	773	19	504	283	221	170	82	113	139	46.4	0.593	0.762	11861	81	gone	ab(d4)@1.exp(t1,c4,w0,l0,f2)@1
104	773	12	1120	688	432	366	194	322	238	51.3	0.488	0.806	9925	80	on	ab(d4)@1.exp(t1,c4,w0,l0,f1)@2
105	762	16	664	331	333	180	152	151	181	48.2	0.441	0.433	1676	87	on	ab(d4,tt,ord,nb200k)@1.learned(s7,c7f7ce61)@1
106	761	12	1120	674	446	359	201	315	245	50.1	0.504	0.808	10256	79	on	ab(d4)@1.exp(t1,c4,w0,l0,f4)@2
107	758	25	196	121	75	58	40	63	35	48.0	1.286	0.972	1710	76	gone	ab(d4,tt,ord,nb200k)@1.learned(s13,068b8a37)@1
108	757	12	1120	669	451	342	218	327	233	41.5	5.448	8.575	27627	58	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r10)@1
109	756	16	664	327	337	157	175	170	162	49.0	0.425	0.404	1632	87	on	ab(d4,tt,ord,nb200k)@1.learned(s3,68364898)@1
110	753	24	318	169	149	94	65	75	84	55.5	2.632	2.638	17358	66	gone	ab(d4)@1.exp(t20,c65,w0,l1,f14)@1
111	752	12	1120	663	457	318	242	345	215	42.4	0.176	0.260	4278	94	on	ab(d4)@1.classic(t1,c4,w0,l0)@2
112	752	12	1120	663	457	345	215	318	242	44.8	3.002	4.812	14927	62	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r45,d3)@1
113	743	25	196	117	79	67	31	50	48	47.0	0.929	0.828	1586	77	gone	ab(d4,tt,ord,nb200k)@1.learned(s7,388ce3fa)@1
114	742	16	664	317	347	149	183	168	164	48.0	0.455	0.429	1736	85	on	ab(d4,tt,ord,nb200k)@1.learned(s6,eac8ab99)@1
115	733	14	808	376	432	199	205	177	227	54.4	12.805	12.367	42728	54	on	ab(d6,tt,ord,nb200k)@1.learned(s97,87a5093d)@1
116	728	25	196	113	83	59	39	54	44	45.5	5.230	4.127	1480	61	gone	ab(d4,tt,ord,nb200k)@1.learned(s22,93efd444)@1
117	725	25	196	112	84	62	36	50	48	48.2	1.084	0.824	1693	75	gone	ab(d4,tt,ord,nb200k)@1.learned(s6,99ac0d85)@1
118	725	25	196	112	84	61	37	51	47	47.9	0.848	0.848	1621	74	gone	ab(d4,tt,ord,nb200k)@1.learned(s8,41ebc0ab)@1
119	724	12	1120	628	492	330	230	298	262	50.4	0.497	0.854	10121	74	on	ab(d4)@1.exp(t1,c4,w0,l0,f8)@2
120	719	16	664	301	363	139	193	162	170	49.4	0.446	0.470	1742	81	on	ab(d4,tt,ord,nb200k)@1.learned(s8,6f1a4264)@1
121	718	19	504	256	248	131	121	125	127	38.6	0.153	0.244	3513	91	gone	ab(d4)@1.classic(t1,c4,w0,l0)@1.dil(r10)@1
122	718	19	504	256	248	143	109	113	139	47.3	0.758	0.715	14689	76	gone	ab(d4)@1.exp(t1,c4,w0,l0,f4)@1
