# book v1 (rank.exe bookgen)
# a (line owner): ab(d8,tt,ord,nb2m)@1.classic(t1,c4,w0,l0)@2
# b (target):     ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1
# board boards/board1.txt, max half-moves 60, A-won replays kept 29 of 32 (replay drift vs stored result: 3), entries 553, move conflicts 2
c8823769cede6c3a 1 3 0
c90e9578d96ba8e2 2 3 1
c9cba1bfba225d06 1 4 0
cb62761be50feae2 1 2 0
cb877b960db6f956 1 3 2
cbb5bdfb601d9e4f 1 4 0
cbe6e5baf39459fc 2 3 3
cc1435e6434b7c73 1 4 0
cc16bb1b83617bf7 1 5 0
cce861b67565e59f 5 3 4
cd27e2e24d4ce6d9 3 7 4
cd27f0196ac5a047 3 6 4
cd6923f1e8a0c2ad 2 0 1
cec13a70bafc0f50 1 2 0
cfa4823f3657799c 2 7 1
cfc1046f2b9bb095 1 4 1
cfdd4e907c6d830a 1 1 2
d012478d95468b12 1 0 2
d01932ec4a351443 0 3 1
d0201dd90b8773d0 3 2 2
d0d4c2bb11310272 2 3 2
d0fa284093798dc6 0 7 1
d1002d2cb598bd82 4 5 3
d16efa70015894dc 0 2 0
d25b05dc84e21fa6 3 3 2
d2a5e9251be1379e 3 1 2
d3028e99db286d5c 3 2 4
d313923375c8dfe3 1 6 2
d43e7c37a9983e22 5 1 4
d4467b5033124064 2 1 1
d48df1907afa1c43 6 6 5
d4ba089fdfda2c21 3 5 2
d5033611be69d53c 1 6 0
d5062c092982eb46 0 7 1
d50ad42fe33630b0 4 1 3
d5b5d985cb9c6e11 0 3 1
d5e2c8f9017337f0 0 5 1
d753d1ee365ade02 1 5 0
d802817746b0f976 4 5 3
d8338b1d21ee985a 1 4 1
d8686bcfc27c27fb 1 2 0
d874c243cb0ed2f7 1 2 0
d8a0a8e98953a6f3 1 5 0
d8d6d294a0e2a21b 4 6 3
d98854c67cd0720d 3 6 2
d99b18ba3e358089 3 6 2
db18905312dfda43 4 2 3
db38565250d30ef8 5 6 4
dc6d8f2ea32ff327 0 3 1
dd598028f9e50908 0 2 0
dd94427cafc882d6 4 6 3
dddb4b4a7f281dc1 1 1 0
de164dc68f30185d 0 4 0
de59b346c1cafb36 0 3 1
de89e157be53e4fe 1 2 0
dec472209ccafd06 4 5 4
df5c17a0f463fb2a 2 1 1
dfae7fcca646df41 0 4 1
e024f1ec350d79df 1 4 0
e0451f9bbe7d8eb3 1 5 0
e0fa6fd506e1c8ba 1 1 0
e18438097172e7e6 3 6 4
e1f1a83c69f3fbec 4 1 3
e1ffd5b81879c4cf 3 6 2
e23887fde5eace0c 0 7 1
e2d354dfd43263a4 0 3 1
e36ab5c229b06b20 2 6 1
e3ab34c082dffecc 7 6 6
e3edf9f3a7a886f2 1 4 0
e40cd94b5f22871e 3 2 2
e423ac4b53800cc0 0 3 0
e44200edb9051f04 0 2 1
e4f524c6b87234b3 0 5 1
e56534c68eb1f079 2 2 1
e5f6b6c715d35a2b 2 3 1
e63cc790ba782d72 1 2 2
e6b29d9fc7ad03a9 1 4 1
e8e7910f3f8ccfb0 1 5 1
ea81adc8fddb5f54 0 3 1
ea9c9ab3513784ea 3 3 3
eb492ec79974ddd3 3 0 2
ebeb23f80fe4853b 0 7 1
ec2b87e59d2f9772 7 4 6
ec765790816702db 1 4 0
ecd6356e5d323c2e 5 6 4
ed457dc2e0b0218d 1 3 0
ed5e4dd8f1277b7e 2 3 3
eea0876a06f73513 2 6 3
eeaedbafb55dddc9 1 7 2
ef523881c08afe58 0 0 0
ef87eff97aec8d19 0 3 1
f01b8a07146095b6 1 3 0
f07876de5c0af2af 6 6 5
f17b542f8a6aced7 1 3 0
f1bc031bd87f24b8 1 7 0
f24a756514df4b41 5 5 4
f3b808b0795c16c9 1 4 2
f3ff25127a00e7d2 1 4 0
f4026e7b284c8a16 4 3 3
f4f2a0db39412fda 1 1 0
f509aadba7cb5cdd 1 6 0
f53d54597a33bbba 1 2 0
f576bcdd19c85948 6 6 7
f69e59a04cbef156 2 0 1
f886d21b19dbe19a 5 1 4
f8b814b70d56330c 3 2 2
fa73d5cf0920d5a2 1 1 2
fb5c5a4c4cd6a2a4 2 3 1
fb65bbfb981352fc 0 3 1
fb855a97631ba3d6 1 5 0
fb9f1e3c1990c52f 1 3 1
fbf1a6bebfc05dd3 0 3 0
fc78dc6ca524befe 1 0 0
fc7b985ddca7df68 1 5 0
fc9b254747c4b15a 2 0 1
fcc40263d4f0987e 3 2 2
fcf96526432b07cf 0 0 0
fde919fd07dffdb6 2 4 2
fdef3d399d338a9a 2 1 1
fe02ad0d40afa02a 1 3 0
fe5395583a3df328 4 4 3
fe7415da168491e2 1 2 0
fea247676fc13f6f 5 6 6
