# book v1 (rank.exe bookgen)
# a (line owner): ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1
# b (target):     ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2
# board boards/board1.txt, max half-moves 60, A-won replays kept 25 of 32 (replay drift vs stored result: 12), entries 519, move conflicts 16
94e1c68bb8fcfe28 4 7 4
951691198c9aabca 4 5 3
953006306b83cab1 5 6 4
9564b7a7e989bcf2 2 3 1
966639c6f479fa4a 4 2 3
976cf6ef6ef13de6 4 2 3
9948898f4164968c 0 3 0
9a3b36ae891c9730 2 7 2
9b1692f97c58ff83 5 0 4
9bdfc980e389f2bc 2 5 1
9c6038975eb5c2c0 2 3 1
9df96c77a098c1d3 5 1 4
9edba554d4563404 4 2 3
9f17c79597abaa05 5 6 4
a017ae28a3e97f82 0 1 1
a01f242b4a530baf 1 4 0
a02819ab908bb469 3 1 2
a02dd9a1307606c8 6 1 5
a03581e9fd343bd1 4 0 5
a05eeea8050850c5 1 5 1
a11b276fa3576a05 3 2 4
a12332e185c69567 4 1 3
a129b075ddae58dc 1 0 2
a12b99361710c10c 0 7 1
a1b5eed7d54a7a5d 1 3 1
a1d7475c80c5c4c6 2 4 1
a1e6750570401cb0 3 2 2
a22df8953cc66982 3 4 2
a2e9d44ff00269f3 3 5 2
a39fe40bf5433092 3 1 2
a4007b3eb23285fd 4 6 3
a4dfbe842a8d8ed2 1 1 1
a545778ad5271f1a 4 1 3
a6119970ec634f0d 2 3 1
a65c2c369449020e 3 1 2
a6a1ecd06aa5b719 1 4 0
a6b344ef03800309 0 4 0
a76ebdffe471cf4f 4 5 3
a79f1ad2e0990087 4 2 3
a8b2250f0bb7372f 2 7 1
a962038f0fe1afb6 0 7 1
aa3f36f3dbf59034 3 4 2
aa78f1a9c0c9e675 1 7 2
aab8c5269b28a097 1 4 0
aaddf299da9c47e3 0 6 1
ab5b7aec3964906b 1 4 0
aba1d61c6c95be4d 1 5 0
aba8bab347201dc7 5 0 4
ac1d7165c8fc67db 3 1 4
ac682363332887d8 3 5 2
ac9ec912ae732948 0 7 1
acb448ca1f0fd082 5 0 4
accb91f200db9811 1 4 0
acd45fee6545996b 2 6 1
ad3b7a093e4f515d 5 1 4
ad8727902c8d6c8c 0 3 1
