# Gumbel-Zero mlp/conv architecture sweep (round 6) opener-division follow-up: every non-REF rung=4000 checkpoint (45 mlp + 45 conv) wrapped with each of the 4 non-openless CHAMPION.md categories' openers.
# elo/games/cpu_ms_move columns are from a PINNED screening fit against ranking/roster_screening_pool.txt: screening only, not certification. gaz(...) is not category-eligible for a title (CHAMPION.md one-head rule) -- this ranks candidates for a possible future certification push, per division.
block	modeltype	category	elo	elo_pm	games	cpu_ms_move	full_agent_id
M10	mlp	4book	956	19	432	22.530	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1449,dc567440,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(book,book=15)@1
M10	mlp	8book	958	19	432	22.379	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1449,dc567440,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(book,book=16)@1
M10	mlp	4random	950	19	432	19.740	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1449,dc567440,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(rand,moves=4)@1
M10	mlp	8random	834	19	432	15.138	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1449,dc567440,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(rand,moves=8)@1
M11	mlp	4book	620	22	432	2.258	gaz(sims=300,cvisit=600,cscale=40,m=8)@1.learned(model=1453,16703a27,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=15)@1
M11	mlp	8book	623	22	432	2.269	gaz(sims=300,cvisit=600,cscale=40,m=8)@1.learned(model=1453,16703a27,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=16)@1
M11	mlp	4random	557	23	432	1.959	gaz(sims=300,cvisit=600,cscale=40,m=8)@1.learned(model=1453,16703a27,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=4)@1
M11	mlp	8random	373	30	432	1.544	gaz(sims=300,cvisit=600,cscale=40,m=8)@1.learned(model=1453,16703a27,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=8)@1
M12	mlp	4book	864	19	432	17.791	gaz(sims=400,cvisit=400,cscale=100)@1.learned(model=1457,ea4c0b55,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(book,book=15)@1
M12	mlp	8book	860	19	432	17.342	gaz(sims=400,cvisit=400,cscale=100)@1.learned(model=1457,ea4c0b55,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(book,book=16)@1
M12	mlp	4random	877	19	432	15.635	gaz(sims=400,cvisit=400,cscale=100)@1.learned(model=1457,ea4c0b55,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(rand,moves=4)@1
M12	mlp	8random	708	20	432	11.775	gaz(sims=400,cvisit=400,cscale=100)@1.learned(model=1457,ea4c0b55,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(rand,moves=8)@1
M13	mlp	4book	584	22	432	3.624	gaz(sims=300,cvisit=1000,cscale=40)@1.learned(model=1461,195bcbe8,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(book,book=15)@1
M13	mlp	8book	587	22	432	3.538	gaz(sims=300,cvisit=1000,cscale=40)@1.learned(model=1461,195bcbe8,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(book,book=16)@1
M13	mlp	4random	544	24	432	3.087	gaz(sims=300,cvisit=1000,cscale=40)@1.learned(model=1461,195bcbe8,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(rand,moves=4)@1
M13	mlp	8random	450	27	432	2.423	gaz(sims=300,cvisit=1000,cscale=40)@1.learned(model=1461,195bcbe8,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(rand,moves=8)@1
M14	mlp	4book	960	19	432	5.399	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1465,5d6df7c0,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(book,book=15)@1
M14	mlp	8book	994	19	432	5.434	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1465,5d6df7c0,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(book,book=16)@1
M14	mlp	4random	941	19	432	4.767	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1465,5d6df7c0,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(rand,moves=4)@1
M14	mlp	8random	781	19	432	3.605	gaz(sims=300,cvisit=600,cscale=100,m=12)@1.learned(model=1465,5d6df7c0,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(rand,moves=8)@1
M15	mlp	4book	598	22	432	2.054	gaz(sims=300,cvisit=600,cscale=40,m=12)@1.learned(model=1469,2c7a36ad,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=15)@1
M15	mlp	8book	569	23	432	2.126	gaz(sims=300,cvisit=600,cscale=40,m=12)@1.learned(model=1469,2c7a36ad,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=16)@1
M15	mlp	4random	534	24	432	1.822	gaz(sims=300,cvisit=600,cscale=40,m=12)@1.learned(model=1469,2c7a36ad,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=4)@1
M15	mlp	8random	296	32	432	1.355	gaz(sims=300,cvisit=600,cscale=40,m=12)@1.learned(model=1469,2c7a36ad,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=8)@1
M16	mlp	4book	913	19	432	22.921	gaz(sims=500,cvisit=1000,cscale=40,m=12)@1.learned(model=1473,3d8eaef8,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(book,book=15)@1
M16	mlp	8book	913	19	432	22.697	gaz(sims=500,cvisit=1000,cscale=40,m=12)@1.learned(model=1473,3d8eaef8,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(book,book=16)@1
M16	mlp	4random	895	19	432	20.130	gaz(sims=500,cvisit=1000,cscale=40,m=12)@1.learned(model=1473,3d8eaef8,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(rand,moves=4)@1
M16	mlp	8random	758	19	432	14.885	gaz(sims=500,cvisit=1000,cscale=40,m=12)@1.learned(model=1473,3d8eaef8,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(rand,moves=8)@1
M17	mlp	4book	785	19	432	25.176	gaz(sims=400,cvisit=1000,cscale=100,m=12)@1.learned(model=1477,401ee4a0,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(book,book=15)@1
M17	mlp	8book	806	19	432	24.660	gaz(sims=400,cvisit=1000,cscale=100,m=12)@1.learned(model=1477,401ee4a0,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(book,book=16)@1
M17	mlp	4random	767	19	432	22.148	gaz(sims=400,cvisit=1000,cscale=100,m=12)@1.learned(model=1477,401ee4a0,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(rand,moves=4)@1
M17	mlp	8random	649	21	432	17.190	gaz(sims=400,cvisit=1000,cscale=100,m=12)@1.learned(model=1477,401ee4a0,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(rand,moves=8)@1
M18	mlp	4book	767	19	432	3.434	gaz(sims=400,cvisit=600,cscale=70,m=8)@1.learned(model=1481,2386abc5,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=15)@1
M18	mlp	8book	754	19	432	3.293	gaz(sims=400,cvisit=600,cscale=70,m=8)@1.learned(model=1481,2386abc5,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=16)@1
M18	mlp	4random	704	20	432	3.049	gaz(sims=400,cvisit=600,cscale=70,m=8)@1.learned(model=1481,2386abc5,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=4)@1
M18	mlp	8random	575	23	432	2.264	gaz(sims=400,cvisit=600,cscale=70,m=8)@1.learned(model=1481,2386abc5,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=8)@1
M19	mlp	4book	636	21	432	8.936	gaz(sims=500,cvisit=800,cscale=70)@1.learned(model=1485,bfc68710,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(book,book=15)@1
M19	mlp	8book	631	21	432	8.798	gaz(sims=500,cvisit=800,cscale=70)@1.learned(model=1485,bfc68710,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(book,book=16)@1
M19	mlp	4random	617	22	432	7.912	gaz(sims=500,cvisit=800,cscale=70)@1.learned(model=1485,bfc68710,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(rand,moves=4)@1
M19	mlp	8random	454	27	432	5.857	gaz(sims=500,cvisit=800,cscale=70)@1.learned(model=1485,bfc68710,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(rand,moves=8)@1
M20	mlp	4book	687	20	432	8.323	gaz(sims=400,cvisit=800,cscale=40)@1.learned(model=1489,6eef1955,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(book,book=15)@1
M20	mlp	8book	671	20	432	8.146	gaz(sims=400,cvisit=800,cscale=40)@1.learned(model=1489,6eef1955,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(book,book=16)@1
M20	mlp	4random	643	21	432	7.282	gaz(sims=400,cvisit=800,cscale=40)@1.learned(model=1489,6eef1955,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(rand,moves=4)@1
M20	mlp	8random	547	24	432	5.495	gaz(sims=400,cvisit=800,cscale=40)@1.learned(model=1489,6eef1955,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(rand,moves=8)@1
M21	mlp	4book	606	22	432	4.195	gaz(sims=500,cvisit=1000,cscale=100)@1.learned(model=1493,31a4d8aa,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=15)@1
M21	mlp	8book	606	22	432	3.875	gaz(sims=500,cvisit=1000,cscale=100)@1.learned(model=1493,31a4d8aa,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=16)@1
M21	mlp	4random	563	23	432	3.771	gaz(sims=500,cvisit=1000,cscale=100)@1.learned(model=1493,31a4d8aa,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=4)@1
M21	mlp	8random	500	25	432	2.931	gaz(sims=500,cvisit=1000,cscale=100)@1.learned(model=1493,31a4d8aa,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=8)@1
