# Gumbel-Zero mlp/conv architecture sweep (round 6) seed-replication follow-up: top 5 mlp blocks re-trained at 2 additional seeds each, same fixed cvisit/cscale/m per block.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt: screening only, not certification.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_arch_seedcheck.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzarchseed_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzarchseed_pinned.md
block	seed	modeltype	arch	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
M39	28949	mlp	32	500	0.003	0	2000	32	8	0	400	70	12	1500	1792	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1792.txt	719	20	432	5.107	107-109	67-149	53	0.2	58	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	learned(model=1792,473ae692,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1792,473ae692,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M39	28949	mlp	32	500	0.003	0	2000	32	8	0	400	70	12	4000	1793	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1793.txt	775	19	432	4.918	104-112	96-120	54	0.4	63	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	learned(model=1793,24682a16,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1793,24682a16,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M10	18920	mlp	64,32	500	0.003	0	8000	128	32	4	800	70	8	100	1794	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1794.txt	581	23	432	21.804	64-152	55-161	53	-1.2	40	0	gaz(sims=500,cvisit=800,cscale=70,m=8)@1	learned(model=1794,f73f335f,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1794,f73f335f,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M10	18920	mlp	64,32	500	0.003	0	8000	128	32	4	800	70	8	400	1795	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1795.txt	735	19	432	21.915	104-112	77-139	52	0.1	51	0	gaz(sims=500,cvisit=800,cscale=70,m=8)@1	learned(model=1795,a75ba58e,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1795,a75ba58e,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M10	18920	mlp	64,32	500	0.003	0	8000	128	32	4	800	70	8	1500	1796	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1796.txt	917	19	432	22.314	129-87	142-74	51	1.0	63	0	gaz(sims=500,cvisit=800,cscale=70,m=8)@1	learned(model=1796,dde509d7,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1796,dde509d7,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M10	18920	mlp	64,32	500	0.003	0	8000	128	32	4	800	70	8	4000	1797	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1797.txt	939	19	432	22.284	138-78	144-72	55	0.7	65	0	gaz(sims=500,cvisit=800,cscale=70,m=8)@1	learned(model=1797,0707ec7f,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1797,0707ec7f,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M10	28920	mlp	64,32	500	0.003	0	8000	128	32	4	800	70	8	100	1798	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1798.txt	592	22	432	23.113	68-148	55-161	50	-1.1	41	0	gaz(sims=500,cvisit=800,cscale=70,m=8)@1	learned(model=1798,ea4de195,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1798,ea4de195,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M10	28920	mlp	64,32	500	0.003	0	8000	128	32	4	800	70	8	400	1799	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1799.txt	800	19	432	22.038	111-105	101-115	48	-0.5	55	0	gaz(sims=500,cvisit=800,cscale=70,m=8)@1	learned(model=1799,3ebefabf,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1799,3ebefabf,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M10	28920	mlp	64,32	500	0.003	0	8000	128	32	4	800	70	8	1500	1800	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1800.txt	897	19	432	22.811	136-80	125-91	54	0.9	62	0	gaz(sims=500,cvisit=800,cscale=70,m=8)@1	learned(model=1800,02f5d87d,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1800,02f5d87d,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M10	28920	mlp	64,32	500	0.003	0	8000	128	32	4	800	70	8	4000	1801	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1801.txt	905	19	432	21.874	128-88	137-79	58	0.6	63	0	gaz(sims=500,cvisit=800,cscale=70,m=8)@1	learned(model=1801,93ebc3ad,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1	gaz(sims=500,cvisit=800,cscale=70,m=8)@1.learned(model=1801,93ebc3ad,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1
M31	18941	mlp	32	300	0.03	0	8000	128	8	8	1000	40	8	100	1802	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1802.txt	560	23	432	3.442	57-159	55-161	52	-2.3	48	0	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1	learned(model=1802,7ca96ecd,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1802,7ca96ecd,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M31	18941	mlp	32	300	0.03	0	8000	128	8	8	1000	40	8	400	1803	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1803.txt	826	19	432	3.365	97-119	128-88	53	0.0	70	0	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1	learned(model=1803,96370d84,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1803,96370d84,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M31	18941	mlp	32	300	0.03	0	8000	128	8	8	1000	40	8	1500	1804	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1804.txt	812	19	432	3.074	87-129	131-85	55	0.4	70	0	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1	learned(model=1804,d42c065d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1804,d42c065d,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M31	18941	mlp	32	300	0.03	0	8000	128	8	8	1000	40	8	4000	1805	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1805.txt	895	19	432	3.019	123-93	137-79	56	0.1	77	0	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1	learned(model=1805,fa50ea5b,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1805,fa50ea5b,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M31	28941	mlp	32	300	0.03	0	8000	128	8	8	1000	40	8	100	1806	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1806.txt	503	25	432	3.273	50-166	45-171	50	-1.9	43	0	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1	learned(model=1806,c866b51a,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1806,c866b51a,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M31	28941	mlp	32	300	0.03	0	8000	128	8	8	1000	40	8	400	1807	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1807.txt	690	20	432	3.325	84-132	77-139	52	-0.6	59	0	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1	learned(model=1807,15322435,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1807,15322435,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M31	28941	mlp	32	300	0.03	0	8000	128	8	8	1000	40	8	1500	1808	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1808.txt	871	19	432	2.996	123-93	125-91	53	0.8	75	0	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1	learned(model=1808,dcf12e75,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1808,dcf12e75,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M31	28941	mlp	32	300	0.03	0	8000	128	8	8	1000	40	8	4000	1809	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1809.txt	956	19	432	2.935	141-75	149-67	59	1.0	83	0	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1	learned(model=1809,386cec96,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=1000,cscale=40,m=8)@1.learned(model=1809,386cec96,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
