# Gumbel-Zero mlp/conv architecture sweep (round 6) conv-capacity follow-up: C15's exact recipe (round 6's best conv checkpoint, 806 Elo) crossed with FC head {none,32} x policy head {linear,mlp} x 3 seeds.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt: screening only, not certification.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_conv_capacity.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzconvcap_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzconvcap_pinned.md
block	seed	modeltype	convchannels	mlphidden	policymlp	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
conv_noFC_mlpPolicy	28975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	100	1830	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1830.txt	625	21	432	73.777	61-155	74-142	46	-1.8	39	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1830,2a1d80f4,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1830,2a1d80f4,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_noFC_mlpPolicy	28975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	400	1831	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1831.txt	503	25	432	72.005	46-170	49-167	49	-1.4	31	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1831,e0844fe5,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1831,e0844fe5,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_noFC_mlpPolicy	28975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	1500	1832	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1832.txt	844	19	432	72.331	118-98	116-100	52	-0.4	52	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1832,099d0ebc,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1832,099d0ebc,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_noFC_mlpPolicy	28975	conv	16,16,16		True	300	0.003	0	500	16	8	0	400	70	16	4000	1833	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1833.txt	804	19	432	73.815	126-90	88-128	51	-0.6	50	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1833,75d4eaf0,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1833,75d4eaf0,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_fc32_linPolicy	8975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	100	1834	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1834.txt	617	22	432	78.622	53-163	79-137	46	-1.0	38	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1834,7067283f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1834,7067283f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_fc32_linPolicy	8975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	400	1835	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1835.txt	638	21	432	77.731	55-161	85-131	45	-1.0	39	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1835,ed658729,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1835,ed658729,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_fc32_linPolicy	8975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	1500	1836	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1836.txt	781	19	432	79.599	82-134	121-95	57	0.6	48	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1836,b2a3dc77,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1836,b2a3dc77,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_fc32_linPolicy	8975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	4000	1837	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1837.txt	873	19	432	79.102	142-74	107-109	50	-0.0	54	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1837,0b1a0f1a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1837,0b1a0f1a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_fc32_linPolicy	18975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	100	1838	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1838.txt	572	23	432	77.841	72-144	44-172	42	-0.9	35	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1838,7d032ec4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1838,7d032ec4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_fc32_linPolicy	18975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	400	1839	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1839.txt	704	20	432	77.940	91-125	76-140	49	-0.4	43	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1839,a7aa7d54,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1839,a7aa7d54,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
