# Gumbel-Zero mlp/conv architecture sweep, follow-up round to plans/gumbel-mcts-results-5-violet-harbor.md (linear only). One row per checkpoint.
# modeltype/arch columns are the drawn --model-type and --mlp-hidden (mlp)/--conv-channels (conv) values. conv's own FC head (--mlp-hidden) is fixed empty this round, not swept.
# cvisit/cscale/m columns are RATING-time search shape only (the gaz(...) serving head). Training self-play never reads them, same as results-5.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt (Docs/ranking-workflow.md Workflow A):
# screening only, not certification.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_arch_study.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzarch_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzarch_pinned.md
block	seed	modeltype	arch	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
M6	8916	mlp	32	400	0.003	0	2000	32	32	8	400	70	8	4000	1433	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1433.txt	883	19	432	4.205	126-90	128-88	56	0.6	73	0	gaz(sims=400,cvisit=400,cscale=70,m=8)@1	learned(model=1433,6e10458a,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=70,m=8)@1.learned(model=1433,6e10458a,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M7	8917	mlp	32	400	0.01	0.001	2000	32	8	4	400	40	12	100	1434	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1434.txt	592	22	432	3.997	75-141	48-168	44	-1.2	50	0	gaz(sims=400,cvisit=400,cscale=40,m=12)@1	learned(model=1434,df547c9c,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=40,m=12)@1.learned(model=1434,df547c9c,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M7	8917	mlp	32	400	0.01	0.001	2000	32	8	4	400	40	12	400	1435	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1435.txt	710	20	432	4.063	92-124	78-138	47	-0.7	59	0	gaz(sims=400,cvisit=400,cscale=40,m=12)@1	learned(model=1435,ba4ab571,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=40,m=12)@1.learned(model=1435,ba4ab571,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M7	8917	mlp	32	400	0.01	0.001	2000	32	8	4	400	40	12	1500	1436	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1436.txt	694	20	432	4.753	83-133	80-136	47	-0.6	57	0	gaz(sims=400,cvisit=400,cscale=40,m=12)@1	learned(model=1436,9dd1c761,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=40,m=12)@1.learned(model=1436,9dd1c761,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M7	8917	mlp	32	400	0.01	0.001	2000	32	8	4	400	40	12	4000	1437	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1437.txt	557	23	432	4.872	45-171	66-150	51	-0.3	45	0	gaz(sims=400,cvisit=400,cscale=40,m=12)@1	learned(model=1437,bf4f1200,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1	gaz(sims=400,cvisit=400,cscale=40,m=12)@1.learned(model=1437,bf4f1200,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1
M8	8918	mlp	16	500	0.003	0	2000	32	128	4	800	100	20	100	1438	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1438.txt	715	20	432	3.537	83-133	89-127	49	-0.7	61	0	gaz(sims=500,cvisit=800,cscale=100,m=20)@1	learned(model=1438,1609ba2d,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=20)@1.learned(model=1438,1609ba2d,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
M8	8918	mlp	16	500	0.003	0	2000	32	128	4	800	100	20	400	1439	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1439.txt	719	20	432	3.560	96-120	78-138	49	0.1	61	0	gaz(sims=500,cvisit=800,cscale=100,m=20)@1	learned(model=1439,b5ebeb15,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=20)@1.learned(model=1439,b5ebeb15,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
M8	8918	mlp	16	500	0.003	0	2000	32	128	4	800	100	20	1500	1440	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1440.txt	832	19	432	3.557	83-133	145-71	53	0.6	71	0	gaz(sims=500,cvisit=800,cscale=100,m=20)@1	learned(model=1440,88752640,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=20)@1.learned(model=1440,88752640,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
M8	8918	mlp	16	500	0.003	0	2000	32	128	4	800	100	20	4000	1441	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1441.txt	818	19	432	3.514	118-98	103-113	58	0.3	69	0	gaz(sims=500,cvisit=800,cscale=100,m=20)@1	learned(model=1441,b87f617b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=20)@1.learned(model=1441,b87f617b,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1
M9	8919	mlp	64	300	0.01	0.001	8000	128	8	4	400	130	20	100	1442	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1442.txt	420	28	432	5.602	41-175	33-183	49	-1.5	34	0	gaz(sims=300,cvisit=400,cscale=130,m=20)@1	learned(model=1442,29c85b1c,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1	gaz(sims=300,cvisit=400,cscale=130,m=20)@1.learned(model=1442,29c85b1c,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1
