# Gumbel-Zero joint training x search-shape sweep (plans/gumbel-mcts-results-5-violet-harbor.md). One row per checkpoint (404 total: 101 draws x 4 rungs).
# cvisit/cscale/m columns are RATING-time search shape only (the gaz(...) serving head). Training self-play never reads them: ml_gumbelzero.cpp calls
# gumbelSearch() directly and never touches g_gumbelCVisit/g_gumbelCScale/g_gumbelRootM, so every row's actual self-play search shape is the fixed engine
# default (cvisit=50, cscale=1.0, m=16), regardless of the swept cvisit/cscale/m values below.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt (Docs/ranking-workflow.md Workflow A):
# screening only, not certification -- see the results doc's Caveats section before treating any single row's Elo as a reliable ranking.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_joint_study.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzjoint_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzjoint_pinned.md
block	seed	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
R23	8823	300	0.003	0.0003	8000	128	8	8	1000	70	8	100	1090	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1090.txt	342	31	432	1.679	31-185	27-189	44	-1.7	32	0	gaz(sims=300,cvisit=1000,cscale=70,m=8)@1	learned(model=1090,1d9db23a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=8)@1.learned(model=1090,1d9db23a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R23	8823	300	0.003	0.0003	8000	128	8	8	1000	70	8	400	1091	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1091.txt	534	24	432	1.025	67-149	37-179	46	-0.9	53	0	gaz(sims=300,cvisit=1000,cscale=70,m=8)@1	learned(model=1091,75de056c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=8)@1.learned(model=1091,75de056c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R23	8823	300	0.003	0.0003	8000	128	8	8	1000	70	8	1500	1092	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1092.txt	531	24	432	0.966	55-161	48-168	45	-0.7	54	0	gaz(sims=300,cvisit=1000,cscale=70,m=8)@1	learned(model=1092,ed134431,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=8)@1.learned(model=1092,ed134431,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R23	8823	300	0.003	0.0003	8000	128	8	8	1000	70	8	4000	1093	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1093.txt	620	22	432	0.880	82-134	51-165	44	-0.4	63	0	gaz(sims=300,cvisit=1000,cscale=70,m=8)@1	learned(model=1093,7299bb58,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=70,m=8)@1.learned(model=1093,7299bb58,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R24	8824	500	0.003	0	8000	128	8	4	1000	70	20	100	1094	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1094.txt	308	32	432	2.640	26-190	26-190	43	-1.3	27	0	gaz(sims=500,cvisit=1000,cscale=70,m=20)@1	learned(model=1094,aa426153,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=70,m=20)@1.learned(model=1094,aa426153,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R24	8824	500	0.003	0	8000	128	8	4	1000	70	20	400	1095	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1095.txt	592	22	432	1.589	79-137	44-172	45	-0.5	56	0	gaz(sims=500,cvisit=1000,cscale=70,m=20)@1	learned(model=1095,463ccb0f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=70,m=20)@1.learned(model=1095,463ccb0f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R24	8824	500	0.003	0	8000	128	8	4	1000	70	20	1500	1096	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1096.txt	534	24	432	1.495	61-155	43-173	45	-0.8	51	0	gaz(sims=500,cvisit=1000,cscale=70,m=20)@1	learned(model=1096,86521769,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=70,m=20)@1.learned(model=1096,86521769,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R24	8824	500	0.003	0	8000	128	8	4	1000	70	20	4000	1097	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1097.txt	754	19	432	1.562	106-110	84-132	46	0.1	71	0	gaz(sims=500,cvisit=1000,cscale=70,m=20)@1	learned(model=1097,3ff750e2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=1000,cscale=70,m=20)@1.learned(model=1097,3ff750e2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R25	8825	500	0.003	0	500	16	8	0	400	130	12	100	1098	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1098.txt	587	22	432	1.622	58-158	63-153	44	-1.0	55	0	gaz(sims=500,cvisit=400,cscale=130,m=12)@1	learned(model=1098,a13bd570,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=130,m=12)@1.learned(model=1098,a13bd570,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R25	8825	500	0.003	0	500	16	8	0	400	130	12	400	1099	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1099.txt	612	22	432	1.375	63-153	67-149	44	-0.4	59	0	gaz(sims=500,cvisit=400,cscale=130,m=12)@1	learned(model=1099,65c4dd65,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=130,m=12)@1.learned(model=1099,65c4dd65,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R25	8825	500	0.003	0	500	16	8	0	400	130	12	1500	1100	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1100.txt	598	22	432	1.607	53-163	72-144	48	-1.2	56	0	gaz(sims=500,cvisit=400,cscale=130,m=12)@1	learned(model=1100,6d3a0138,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=130,m=12)@1.learned(model=1100,6d3a0138,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R25	8825	500	0.003	0	500	16	8	0	400	130	12	4000	1101	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1101.txt	604	22	432	1.991	64-152	63-153	52	0.0	55	0	gaz(sims=500,cvisit=400,cscale=130,m=12)@1	learned(model=1101,c562256b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=130,m=12)@1.learned(model=1101,c562256b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R26	8826	400	0.003	0	8000	128	32	8	1000	100	20	100	1102	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1102.txt	489	25	432	2.333	39-177	52-164	47	-1.1	44	0	gaz(sims=400,cvisit=1000,cscale=100,m=20)@1	learned(model=1102,7c6c7a12,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=1000,cscale=100,m=20)@1.learned(model=1102,7c6c7a12,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R26	8826	400	0.003	0	8000	128	32	8	1000	100	20	400	1103	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1103.txt	631	21	432	1.347	84-132	53-163	48	-0.1	61	0	gaz(sims=400,cvisit=1000,cscale=100,m=20)@1	learned(model=1103,34c0c47d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=1000,cscale=100,m=20)@1.learned(model=1103,34c0c47d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R26	8826	400	0.003	0	8000	128	32	8	1000	100	20	1500	1104	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1104.txt	687	20	432	1.211	99-117	61-155	47	-0.1	67	0	gaz(sims=400,cvisit=1000,cscale=100,m=20)@1	learned(model=1104,74226e72,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=1000,cscale=100,m=20)@1.learned(model=1104,74226e72,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R26	8826	400	0.003	0	8000	128	32	8	1000	100	20	4000	1105	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1105.txt	781	19	432	1.368	110-106	93-123	49	0.7	75	0	gaz(sims=400,cvisit=1000,cscale=100,m=20)@1	learned(model=1105,da12da67,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=1000,cscale=100,m=20)@1.learned(model=1105,da12da67,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R27	8827	300	0.003	0.001	500	16	32	8	800	40	12	100	1106	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1106.txt	528	24	432	0.841	60-156	42-174	43	-1.2	54	0	gaz(sims=300,cvisit=800,cscale=40,m=12)@1	learned(model=1106,82b75799,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40,m=12)@1.learned(model=1106,82b75799,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R27	8827	300	0.003	0.001	500	16	32	8	800	40	12	400	1107	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1107.txt	524	24	432	0.843	61-155	40-176	38	-0.9	54	0	gaz(sims=300,cvisit=800,cscale=40,m=12)@1	learned(model=1107,0255075b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40,m=12)@1.learned(model=1107,0255075b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R27	8827	300	0.003	0.001	500	16	32	8	800	40	12	1500	1108	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1108.txt	563	23	432	0.857	69-147	44-172	42	-0.8	58	0	gaz(sims=300,cvisit=800,cscale=40,m=12)@1	learned(model=1108,157ccd49,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40,m=12)@1.learned(model=1108,157ccd49,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R27	8827	300	0.003	0.001	500	16	32	8	800	40	12	4000	1109	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1109.txt	578	23	432	0.748	65-151	53-163	42	-0.5	61	0	gaz(sims=300,cvisit=800,cscale=40,m=12)@1	learned(model=1109,215827e3,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40,m=12)@1.learned(model=1109,215827e3,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R28	8828	500	0.003	0.0003	500	16	32	4	600	100	20	100	1110	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1110.txt	503	25	432	1.750	63-153	32-184	41	-1.0	47	0	gaz(sims=500,cvisit=600,cscale=100,m=20)@1	learned(model=1110,c25d9af6,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=100,m=20)@1.learned(model=1110,c25d9af6,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R28	8828	500	0.003	0.0003	500	16	32	4	600	100	20	400	1111	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1111.txt	566	23	432	1.487	70-146	44-172	46	-1.2	54	0	gaz(sims=500,cvisit=600,cscale=100,m=20)@1	learned(model=1111,e4b307bb,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=100,m=20)@1.learned(model=1111,e4b307bb,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R28	8828	500	0.003	0.0003	500	16	32	4	600	100	20	1500	1112	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1112.txt	604	22	432	1.629	71-145	56-160	47	-0.7	57	0	gaz(sims=500,cvisit=600,cscale=100,m=20)@1	learned(model=1112,32e1a298,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=100,m=20)@1.learned(model=1112,32e1a298,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R28	8828	500	0.003	0.0003	500	16	32	4	600	100	20	4000	1113	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1113.txt	643	21	432	1.451	86-130	56-160	45	-0.6	61	0	gaz(sims=500,cvisit=600,cscale=100,m=20)@1	learned(model=1113,5f748625,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=100,m=20)@1.learned(model=1113,5f748625,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R29	8829	500	0.003	0.001	8000	128	32	4	600	40	20	100	1114	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1114.txt	368	30	432	1.912	38-178	25-191	47	-0.5	34	0	gaz(sims=500,cvisit=600,cscale=40,m=20)@1	learned(model=1114,a762c1b1,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=40,m=20)@1.learned(model=1114,a762c1b1,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R29	8829	500	0.003	0.001	8000	128	32	4	600	40	20	400	1115	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1115.txt	581	23	432	1.333	70-146	49-167	40	-0.4	56	0	gaz(sims=500,cvisit=600,cscale=40,m=20)@1	learned(model=1115,afa323bf,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=40,m=20)@1.learned(model=1115,afa323bf,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R29	8829	500	0.003	0.001	8000	128	32	4	600	40	20	1500	1116	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1116.txt	625	21	432	1.268	79-137	56-160	43	-0.5	61	0	gaz(sims=500,cvisit=600,cscale=40,m=20)@1	learned(model=1116,3974cf62,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=40,m=20)@1.learned(model=1116,3974cf62,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R29	8829	500	0.003	0.001	8000	128	32	4	600	40	20	4000	1117	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1117.txt	578	23	432	1.335	68-148	50-166	43	-0.7	56	0	gaz(sims=500,cvisit=600,cscale=40,m=20)@1	learned(model=1117,eeed5170,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=40,m=20)@1.learned(model=1117,eeed5170,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R30	8830	500	0.003	0.0003	8000	128	32	4	800	100	12	100	1118	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1118.txt	458	26	432	2.697	45-171	38-178	48	-1.7	40	0	gaz(sims=500,cvisit=800,cscale=100,m=12)@1	learned(model=1118,fbce7e6c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=12)@1.learned(model=1118,fbce7e6c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R30	8830	500	0.003	0.0003	8000	128	32	4	800	100	12	400	1119	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1119.txt	633	21	432	1.640	83-133	55-161	46	-0.3	59	0	gaz(sims=500,cvisit=800,cscale=100,m=12)@1	learned(model=1119,26726b19,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=12)@1.learned(model=1119,26726b19,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R30	8830	500	0.003	0.0003	8000	128	32	4	800	100	12	1500	1120	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1120.txt	572	23	432	1.636	75-141	41-175	44	-0.7	54	0	gaz(sims=500,cvisit=800,cscale=100,m=12)@1	learned(model=1120,e51ef7c4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=12)@1.learned(model=1120,e51ef7c4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R30	8830	500	0.003	0.0003	8000	128	32	4	800	100	12	4000	1121	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1121.txt	625	21	432	1.487	82-134	53-163	46	-0.8	59	0	gaz(sims=500,cvisit=800,cscale=100,m=12)@1	learned(model=1121,b685983c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=12)@1.learned(model=1121,b685983c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R31	8831	300	0.01	0.0003	8000	128	32	0	800	130	8	100	1122	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1122.txt	446	27	432	1.337	35-181	45-171	51	-1.2	43	0	gaz(sims=300,cvisit=800,cscale=130,m=8)@1	learned(model=1122,232f00a2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=130,m=8)@1.learned(model=1122,232f00a2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R31	8831	300	0.01	0.0003	8000	128	32	0	800	130	8	400	1123	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1123.txt	581	23	432	1.005	51-165	68-148	45	-0.9	58	0	gaz(sims=300,cvisit=800,cscale=130,m=8)@1	learned(model=1123,0fa1dacb,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=130,m=8)@1.learned(model=1123,0fa1dacb,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R31	8831	300	0.01	0.0003	8000	128	32	0	800	130	8	1500	1124	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1124.txt	544	24	432	1.035	50-166	57-159	47	-0.8	54	0	gaz(sims=300,cvisit=800,cscale=130,m=8)@1	learned(model=1124,90387dcd,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=130,m=8)@1.learned(model=1124,90387dcd,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R31	8831	300	0.01	0.0003	8000	128	32	0	800	130	8	4000	1125	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1125.txt	609	22	432	1.014	64-152	65-151	48	-0.6	61	0	gaz(sims=300,cvisit=800,cscale=130,m=8)@1	learned(model=1125,d702f2af,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=130,m=8)@1.learned(model=1125,d702f2af,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R32	8832	300	0.03	0.001	500	16	128	0	1000	130	20	100	1126	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1126.txt	496	25	432	0.929	38-178	55-161	37	-1.5	50	0	gaz(sims=300,cvisit=1000,cscale=130,m=20)@1	learned(model=1126,a10e1ab9,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=20)@1.learned(model=1126,a10e1ab9,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R32	8832	300	0.03	0.001	500	16	128	0	1000	130	20	400	1127	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1127.txt	503	25	432	0.979	45-171	50-166	38	-0.9	51	0	gaz(sims=300,cvisit=1000,cscale=130,m=20)@1	learned(model=1127,246f0223,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=20)@1.learned(model=1127,246f0223,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R32	8832	300	0.03	0.001	500	16	128	0	1000	130	20	1500	1128	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1128.txt	534	24	432	0.964	54-162	50-166	44	-1.7	54	0	gaz(sims=300,cvisit=1000,cscale=130,m=20)@1	learned(model=1128,6b96f9c5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=20)@1.learned(model=1128,6b96f9c5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R32	8832	300	0.03	0.001	500	16	128	0	1000	130	20	4000	1129	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1129.txt	485	25	432	0.910	33-183	57-159	41	-1.5	49	0	gaz(sims=300,cvisit=1000,cscale=130,m=20)@1	learned(model=1129,5829ba34,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=20)@1.learned(model=1129,5829ba34,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R33	8833	300	0.01	0.001	8000	128	32	4	1000	130	12	100	1130	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1130.txt	397	29	432	1.329	42-174	27-189	42	-1.0	38	0	gaz(sims=300,cvisit=1000,cscale=130,m=12)@1	learned(model=1130,63c09d92,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=12)@1.learned(model=1130,63c09d92,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R33	8833	300	0.01	0.001	8000	128	32	4	1000	130	12	400	1131	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1131.txt	493	25	432	0.908	50-166	42-174	42	-1.0	50	0	gaz(sims=300,cvisit=1000,cscale=130,m=12)@1	learned(model=1131,7beb13a7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=12)@1.learned(model=1131,7beb13a7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R33	8833	300	0.01	0.001	8000	128	32	4	1000	130	12	1500	1132	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1132.txt	450	27	432	0.988	50-166	31-185	42	-1.1	45	0	gaz(sims=300,cvisit=1000,cscale=130,m=12)@1	learned(model=1132,3522f882,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=12)@1.learned(model=1132,3522f882,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R33	8833	300	0.01	0.001	8000	128	32	4	1000	130	12	4000	1133	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1133.txt	550	23	432	0.890	62-154	47-169	40	-0.9	56	0	gaz(sims=300,cvisit=1000,cscale=130,m=12)@1	learned(model=1133,80a4876c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=12)@1.learned(model=1133,80a4876c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R34	8834	500	0.01	0.001	500	16	8	0	400	70	12	100	1134	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1134.txt	581	23	432	1.378	51-165	68-148	41	-1.0	56	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	learned(model=1134,866aaa42,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1134,866aaa42,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R34	8834	500	0.01	0.001	500	16	8	0	400	70	12	400	1135	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1135.txt	524	24	432	1.464	40-176	61-155	42	-1.0	50	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	learned(model=1135,c565482c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1135,c565482c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R34	8834	500	0.01	0.001	500	16	8	0	400	70	12	1500	1136	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1136.txt	633	21	432	1.359	66-150	72-144	44	-0.8	61	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	learned(model=1136,e1824e64,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1136,e1824e64,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R34	8834	500	0.01	0.001	500	16	8	0	400	70	12	4000	1137	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1137.txt	462	26	432	1.548	39-177	45-171	45	-1.2	44	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	learned(model=1137,920cb51c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1137,920cb51c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R35	8835	400	0.003	0	500	16	8	8	600	40	20	100	1138	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1138.txt	557	23	432	1.215	47-169	64-152	42	-0.7	54	0	gaz(sims=400,cvisit=600,cscale=40,m=20)@1	learned(model=1138,e8cccc88,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=40,m=20)@1.learned(model=1138,e8cccc88,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R35	8835	400	0.003	0	500	16	8	8	600	40	20	400	1139	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1139.txt	528	24	432	1.204	44-172	58-158	48	-1.0	52	0	gaz(sims=400,cvisit=600,cscale=40,m=20)@1	learned(model=1139,81023801,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=40,m=20)@1.learned(model=1139,81023801,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R35	8835	400	0.003	0	500	16	8	8	600	40	20	1500	1140	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1140.txt	598	22	432	1.200	47-169	78-138	45	-0.3	58	0	gaz(sims=400,cvisit=600,cscale=40,m=20)@1	learned(model=1140,43aa6ea2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=40,m=20)@1.learned(model=1140,43aa6ea2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R35	8835	400	0.003	0	500	16	8	8	600	40	20	4000	1141	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1141.txt	692	20	432	1.171	61-155	101-115	48	-0.1	68	0	gaz(sims=400,cvisit=600,cscale=40,m=20)@1	learned(model=1141,197e635b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=40,m=20)@1.learned(model=1141,197e635b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
