# Gumbel-Zero joint training x search-shape sweep (plans/gumbel-mcts-results-5-violet-harbor.md). One row per checkpoint (404 total: 101 draws x 4 rungs).
# cvisit/cscale/m columns are RATING-time search shape only (the gaz(...) serving head). Training self-play never reads them: ml_gumbelzero.cpp calls
# gumbelSearch() directly and never touches g_gumbelCVisit/g_gumbelCScale/g_gumbelRootM, so every row's actual self-play search shape is the fixed engine
# default (cvisit=50, cscale=1.0, m=16), regardless of the swept cvisit/cscale/m values below.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt (Docs/ranking-workflow.md Workflow A):
# screening only, not certification -- see the results doc's Caveats section before treating any single row's Elo as a reliable ranking.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_joint_study.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzjoint_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzjoint_pinned.md
block	seed	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
R5	8805	300	0.003	0	2000	32	8	0	800	40	16	100	1018	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1018.txt	481	26	432	0.875	39-177	50-166	40	-1.3	49	0	gaz(sims=300,cvisit=800,cscale=40)@1	learned(model=1018,b9733fd4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40)@1.learned(model=1018,b9733fd4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R5	8805	300	0.003	0	2000	32	8	0	800	40	16	400	1019	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1019.txt	636	21	432	0.813	58-158	81-135	45	-0.6	66	0	gaz(sims=300,cvisit=800,cscale=40)@1	learned(model=1019,a5d3a303,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40)@1.learned(model=1019,a5d3a303,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R5	8805	300	0.003	0	2000	32	8	0	800	40	16	1500	1020	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1020.txt	606	22	432	0.820	59-157	69-147	49	-1.0	63	0	gaz(sims=300,cvisit=800,cscale=40)@1	learned(model=1020,abdb4ad2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40)@1.learned(model=1020,abdb4ad2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R5	8805	300	0.003	0	2000	32	8	0	800	40	16	4000	1021	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1021.txt	678	20	432	0.788	65-151	91-125	49	-0.6	70	0	gaz(sims=300,cvisit=800,cscale=40)@1	learned(model=1021,17f5e051,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40)@1.learned(model=1021,17f5e051,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R6	8806	300	0.01	0.0003	2000	32	32	8	800	70	16	100	1022	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1022.txt	489	25	432	1.109	52-164	39-177	48	-1.3	48	0	gaz(sims=300,cvisit=800,cscale=70)@1	learned(model=1022,5d3e0a0e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70)@1.learned(model=1022,5d3e0a0e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R6	8806	300	0.01	0.0003	2000	32	32	8	800	70	16	400	1023	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1023.txt	528	24	432	0.860	38-178	64-152	43	-0.6	54	0	gaz(sims=300,cvisit=800,cscale=70)@1	learned(model=1023,9854bed7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70)@1.learned(model=1023,9854bed7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R6	8806	300	0.01	0.0003	2000	32	32	8	800	70	16	1500	1024	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1024.txt	628	21	432	0.885	52-164	84-132	45	-0.5	64	0	gaz(sims=300,cvisit=800,cscale=70)@1	learned(model=1024,ee9c4163,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70)@1.learned(model=1024,ee9c4163,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R6	8806	300	0.01	0.0003	2000	32	32	8	800	70	16	4000	1025	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1025.txt	531	24	432	0.835	39-177	64-152	47	-0.7	55	0	gaz(sims=300,cvisit=800,cscale=70)@1	learned(model=1025,33b2213c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70)@1.learned(model=1025,33b2213c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R7	8807	500	0.03	0.0003	2000	32	128	4	400	100	20	100	1026	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1026.txt	534	24	432	1.398	40-176	64-152	43	-0.7	51	0	gaz(sims=500,cvisit=400,cscale=100,m=20)@1	learned(model=1026,8683fb8b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=100,m=20)@1.learned(model=1026,8683fb8b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R7	8807	500	0.03	0.0003	2000	32	128	4	400	100	20	400	1027	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1027.txt	547	24	432	1.373	49-167	59-157	44	-1.0	52	0	gaz(sims=500,cvisit=400,cscale=100,m=20)@1	learned(model=1027,030a466d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=100,m=20)@1.learned(model=1027,030a466d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
