mode	k	g	half	games_per_agent	opp_per_agent	min_opp	n	rho	worst	rms	max	mean_shift	med_pm	over2pm	rms_openless	rms_opener8	rms_dil20	core_rho	core_worst	champs_same	ab_rho	ab_rms
strat	32	4	A	140.6	36.04	32	198	0.9843	29	40.54	113	3.788	37	0.05051	39.12	37.47	44.69	0.99	5	3	0.9722	54.91
strat	32	4	B	141.5	36.19	32	198	0.9843	38	38.75	121	6.313	37	0.05556	35.85	37.42	42.66	0.9947	3	2	0.9722	54.91
strat	32	8	A	277.6	36.04	32	198	0.9896	26	31.99	82	4.879	26	0.08586	34.45	31.13	30.25	0.993	3	4	0.9814	43.44
strat	32	8	B	279.7	36.19	32	198	0.9889	29	31.87	101	8.747	26	0.1111	30.31	33.77	31.41	0.9957	3	3	0.9814	43.44
strat	32	16	A	503	36.04	32	198	0.9925	22	26.75	65	2.455	19	0.1162	31.92	23.54	23.96	0.9943	3	3	0.9843	38.65
strat	32	16	B	506.9	36.19	32	198	0.9914	30	26.76	86	3.606	19	0.1313	26.42	28.15	25.65	0.9926	3	2	0.9843	38.65
strat	64	2	A	144	72.01	64	198	0.9864	28	38.24	122	7.005	36	0.04545	37.75	42.42	34.11	0.993	3	2	0.9707	54.03
strat	64	2	B	143.6	71.78	64	198	0.9831	40	42.81	141	7.328	36	0.04545	39.72	36.88	50.59	0.9947	2	1	0.9707	54.03
strat	64	4	A	281.4	72.01	64	198	0.9916	24	28.24	75	5.843	26	0.05051	31.15	28.53	24.65	0.9967	2	3	0.9837	39.8
strat	64	4	B	280	71.78	64	198	0.9899	36	31.61	93	8.434	26	0.08586	32.1	29.76	32.89	0.9973	2	1	0.9837	39.8
strat	64	8	A	556	72.01	64	198	0.9941	17	22.79	57	5.429	18	0.08586	24.8	24	19.17	0.994	3	4	0.9874	33.27
strat	64	8	B	552.8	71.78	64	198	0.9928	26	25.61	67	11.08	18	0.1263	24.82	25.65	26.33	0.9973	3	2	0.9874	33.27
strat	64	16	A	1007	72.01	64	198	0.9956	15	19.37	64	3.096	14	0.1515	23.1	18.33	15.99	0.9943	3	3	0.99	29.03
strat	64	16	B	1013	71.78	64	198	0.9943	33	20.87	88	6.768	13	0.1313	21.37	18.37	22.64	0.9957	3	3	0.99	29.03
strat	128	2	A	284.9	142.5	128	198	0.9921	24	29.91	93	7.717	26	0.06061	31.97	28.18	29.47	0.9943	4	2	0.9852	42.25
strat	128	2	B	282.6	141.3	128	198	0.991	24	31.18	91	-2.838	26	0.1061	32.18	30.98	30.35	0.9926	3	4	0.9852	42.25
strat	128	4	A	556.1	142.5	128	198	0.994	22	22.66	67	7.96	18	0.07576	24.08	21.33	22.5	0.996	2	2	0.9863	35.19
strat	128	4	B	550.3	141.3	128	198	0.9939	20	22.61	70	-0.6465	18	0.06061	23.64	21.17	22.94	0.9936	4	2	0.9863	35.19
strat	128	8	A	1098	142.5	128	198	0.9957	21	17.2	58	7.141	13	0.09596	13.81	19.63	17.64	0.995	4	2	0.9909	27.92
strat	128	8	B	1086	141.3	128	198	0.9966	14	16.27	65	-1.949	13	0.07576	17.72	16.42	14.51	0.998	2	4	0.9909	27.92
strat	128	16	A	1999	142.5	128	198	0.997	20	13.99	54	3.934	10	0.1212	14.48	14.02	13.45	0.994	3	2	0.9936	23.39
strat	128	16	B	2153	141.3	128	198	0.9981	12	12.88	47	-2.919	9	0.101	14.96	12.5	10.85	0.9983	2	4	0.9936	23.39
