mode	k	g	half	games_per_agent	opp_per_agent	min_opp	n	rho	worst	rms	max	mean_shift	med_pm	over2pm	rms_openless	rms_opener8	rms_dil20	core_rho	core_worst	champs_same	ab_rho	ab_rms
strat	16	4	B	70.25	18.01	16	198	0.9687	40	53.99	139	5.717	51	0.04545	56.37	53.14	52.38	0.9863	5	1	0.9394	78.63
strat	16	8	A	140.1	18.1	16	198	0.983	33	44.82	119	13.4	36	0.08081	46.9	50.1	36.3	0.987	3	2	0.9655	62.33
strat	16	8	B	138.7	18.01	16	198	0.9797	37	45.31	131	7.283	37	0.101	46.99	44.71	44.19	0.9886	4	1	0.9655	62.33
strat	16	16	A	254.2	18.1	16	198	0.9883	24	38.19	109	10.48	27	0.1212	40.69	39.89	33.59	0.989	3	1	0.9732	55.8
strat	16	16	B	251.4	18.01	16	198	0.983	37	40.52	112	4.419	27	0.1616	42.52	41.04	37.87	0.9886	3	3	0.9732	55.8
strat	32	2	A	72.08	36.04	32	198	0.9734	42	48.47	143	7.601	50	0.04545	44.59	45.95	54.29	0.99	5	2	0.9541	67.42
strat	32	2	B	72.38	36.19	32	198	0.9742	43	50.85	161	9.702	50	0.0303	45.81	47.15	58.61	0.9893	3	2	0.9541	67.42
strat	32	4	A	140.6	36.04	32	198	0.9843	29	38.5	105	5.253	36	0.04545	36.56	36.24	42.39	0.9903	5	3	0.9723	52.09
strat	32	4	B	141.5	36.19	32	198	0.9842	38	36.42	109	7.485	36	0.04545	31.7	36.99	40.07	0.9953	3	2	0.9723	52.09
strat	32	8	A	277.6	36.04	32	198	0.9897	26	31.16	79	5.793	26	0.07576	33.44	30.67	29.22	0.9923	3	4	0.9814	42.18
strat	32	8	B	279.7	36.19	32	198	0.9889	29	31.01	86	9.485	26	0.101	28.17	33.55	31.06	0.9957	3	3	0.9814	42.18
strat	32	16	A	503	36.04	32	198	0.9926	22	26.33	63	2.889	19	0.1111	31.23	23.37	23.62	0.9943	3	3	0.9845	38.05
strat	32	16	B	506.9	36.19	32	198	0.9915	30	26.5	85	4.04	19	0.1414	25.98	28.1	25.35	0.9926	3	2	0.9845	38.05
strat	64	2	A	144	72.01	64	198	0.9863	28	36.68	102	9.409	35	0.03535	33.61	39.23	36.99	0.9926	3	2	0.9707	49.66
strat	64	2	B	143.6	71.78	64	198	0.9831	40	39.14	122	10.4	35	0.05556	33.52	35.28	47.2	0.9947	2	1	0.9707	49.66
strat	64	4	A	281.4	72.01	64	198	0.9916	24	27.75	76	7.247	25	0.06061	29.3	28.35	25.45	0.9967	2	3	0.9838	37.99
strat	64	4	B	280	71.78	64	198	0.9899	36	30.51	85	9.944	25	0.09091	29.62	29.16	32.64	0.9973	2	1	0.9838	37.99
strat	64	8	A	556	72.01	64	198	0.9941	17	22.61	56	6.232	18	0.06566	24.18	23.87	19.49	0.994	3	4	0.9874	32.45
strat	64	8	B	552.8	71.78	64	198	0.9928	26	25.42	67	11.86	18	0.1212	23.79	25.57	26.81	0.9973	3	2	0.9874	32.45
strat	64	16	A	1007	72.01	64	198	0.9955	16	19.15	64	3.409	14	0.1515	22.78	18.24	15.77	0.9943	3	3	0.9899	28.57
strat	64	16	B	1013	71.78	64	198	0.9943	33	20.69	87	7.076	13	0.1313	20.98	18.37	22.52	0.9957	3	3	0.9899	28.57
strat	128	2	A	284.9	142.5	128	198	0.9921	24	27.63	77	10.42	25	0.06061	25.67	25.46	31.34	0.996	3	2	0.9851	38.06
strat	128	2	B	282.6	141.3	128	198	0.9911	24	30	93	3.535	25	0.08081	30.03	29.37	30.59	0.993	3	4	0.9851	38.06
strat	128	4	A	556.1	142.5	128	198	0.994	22	21.33	71	9.364	18	0.09091	19.23	20.91	23.63	0.996	2	2	0.9864	33.31
strat	128	4	B	550.3	141.3	128	198	0.9939	20	22.54	56	2.045	18	0.1061	23.25	20.85	23.42	0.9936	4	2	0.9864	33.31
strat	128	8	A	1098	142.5	128	198	0.9957	21	16.93	59	7.995	13	0.1061	12.57	19.45	17.98	0.9957	4	2	0.9909	27.26
strat	128	8	B	1086	141.3	128	198	0.9966	14	16.13	61	-0.9899	13	0.06566	17.64	16.3	14.25	0.998	2	4	0.9909	27.26
strat	128	16	A	1999	142.5	128	198	0.9971	20	13.76	53	4.146	10	0.1212	14.11	13.8	13.34	0.994	3	2	0.9936	23.03
strat	128	16	B	2153	141.3	128	198	0.9981	13	12.76	47	-2.793	9	0.101	14.72	12.44	10.82	0.9983	2	4	0.9936	23.03
