rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
344	745	25	196	113	83	59	39	54	44	45.5	5.230	4.127	1480	62	gone	ab(d4,tt,ord,nb200k)@1.learned(s22,93efd444)@1
345	744	19	504	246	258	145	107	101	151	55.9	4.461	3.527	29876	63	gone	ab(deep=4)@1.classic(chip=10,wall=3,column=2)@1
346	742	25	196	112	84	62	36	50	48	48.2	1.084	0.824	1693	77	gone	ab(d4,tt,ord,nb200k)@1.learned(s6,99ac0d85)@1
347	742	25	196	112	84	61	37	51	47	47.9	0.848	0.848	1621	76	gone	ab(d4,tt,ord,nb200k)@1.learned(s8,41ebc0ab)@1
348	741	9	1820	1037	783	536	374	501	409	53.8	0.972	0.954	11702	75	on	ab(deep=4)@2.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
349	734	12	1052	557	495	273	253	284	242	51.2	517.242	499.575	112067	39	gone	ab(deep=6,tt,ord,time=150ms)@1.learned(model=113,e3cc8b4e,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
350	733	9	1840	803	1037	426	494	377	543	57.2	16.292	15.985	54275	52	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=95,07792e69,pool_games,lin,shape=129-1)@1.opener(rand,moves=4)@1
351	732	7	3472	1580	1892	864	872	716	1020	53.4	278.476	275.071	65459	41	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=113,e3cc8b4e,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1.opener(rand,moves=8)@1
352	731	25	196	109	87	54	44	55	43	47.6	1.298	0.897	1649	75	gone	ab(d4,tt,ord,nb200k)@1.learned(s11,e2d2f5da)@1
353	731	25	196	109	87	53	45	56	42	47.5	1.296	0.996	1625	73	gone	ab(d4,tt,ord,nb200k)@1.learned(s14,e7a789fe)@1
354	731	25	196	109	87	54	44	55	43	46.5	1.310	1.084	2017	73	gone	ab(d4,tt,ord,nb200k)@1.learned(s4,95b45b1f)@1
355	731	9	1820	1017	803	532	378	485	425	57.8	57.164	56.343	13793	46	on	ab(deep=4)@2.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
356	729	9	1736	759	977	431	437	328	540	50.5	13.096	12.588	41812	54	gone	ab(deep=6,tt,ord,time=150ms)@1.learned(model=99,59815079,pool_games,lin,shape=129-1)@1.opener(rand,moves=8)@1
357	728	25	196	108	88	53	45	55	43	47.7	1.264	0.836	1631	75	gone	ab(d4,tt,ord,nb200k)@1.learned(s12,fc66af48)@1
358	726	7	3472	1556	1916	805	931	751	985	42.7	0.235	0.223	3735	93	on	ab(deep=4)@2.classic(chip=100)@2.dil(prob=5)@1
359	725	12	1052	546	506	280	246	266	260	52.0	494.624	477.389	105482	38	gone	ab(deep=6,tt,ord,time=150ms)@1.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
360	725	9	1726	754	972	362	496	392	476	42.3	18.948	17.845	18148	51	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=585,e37f6895,tdleaf_self,mlp,shape=30-32-1)@1
361	724	25	196	107	89	53	45	54	44	45.7	1.670	1.157	2158	71	gone	ab(d4,tt,ord,nb200k)@1.learned(s10,6153d426)@1
362	724	9	1820	1003	817	470	440	533	377	52.7	1.178	1.144	4495	71	on	ab(deep=4,tt,ord,nodes=200k)@2.learned(model=3,68364898,pool_games,lin,shape=129-1)@1
363	724	19	504	236	268	138	114	98	154	47.4	0.807	0.753	15694	76	gone	ab(deep=4)@1.exp(chip=4,forward=8)@1
364	721	9	1796	762	1034	387	511	375	523	54.9	0.946	0.917	11603	73	gone	ab(deep=4)@1.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
365	715	9	1948	809	1139	440	534	369	605	55.3	14.863	14.453	51777	52	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=97,87a5093d,pool_games,lin,shape=129-1)@1
366	714	9	1820	982	838	540	370	442	468	56.8	25.116	24.708	89518	49	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=369,612a48a8,tdleaf_self,lin,shape=129-1)@1
367	711	25	196	103	93	50	48	53	45	46.9	1.103	0.887	1776	73	gone	ab(d4,tt,ord,nb200k)@1.learned(s5,70081fb7)@1
